"Cód..Curso","Curso","Aluno","CH.integralizada","Faixa.CH..","CRA","Faixa.CRA","Semestres","Anos","MC","MCN","IEA","IEAN","Amostra"
"11104120","DESIGN - D","48dd3512d4be782dc4d750e9d4f43cd6","2070","60-80","7,727","6-8","8","4","8,043","567,156","5,802","409,126","115"
"11104120","DESIGN - D","17482eac40f4ca083bacf128352170ed","2745","60-80","8,421","8-10","8","4","8,421","645,744","6,605","506,448","115"
"11104120","DESIGN - D","e335204f6ded2ba5e1de5b8105a5413c","3080","80-100","8,6","8-10","8","4","8,6","682,871","7,568","600,927","115"
"11104120","DESIGN - D","8cefeecdb5bb6284574430ba0df5ca78","1920","60-80","5,965","4-6","8","4","7,096","370,767","3,525","184,15","115"
"11104120","DESIGN - D","18d49afc29035a01e87e17b11478a763","2930","80-100","9,062","8-10","8","4","9,062","778,861","7,587","652,018","115"
"11104120","DESIGN - D","26ed4f15e0713a0c444bf889d778f131","2050","60-80","7,305","6-8","8","4","7,847","526,641","4,901","328,944","115"
"11104120","DESIGN - D","66caf658417c26305559215ee0287ba8","2810","80-100","7,373","6-8","8","4","7,373","428,106","5,795","336,522","115"
"11104120","DESIGN - D","20ac96cc089accf58a25cb8632740010","2080","60-80","6,938","6-8","8","4","7,358","425,112","4,548","262,752","115"
"11104120","DESIGN - D","3f94f7baba2b158ba1ed2c2b37ae9b55","2160","80-100","7,009","6-8","8","4","7,507","455,991","4,777","290,176","115"
"11104120","DESIGN - D","be5d6558771d9e06631baa74a920dfac","1980","60-80","7,094","6-8","8","4","7,312","415,553","4,524","257,123","115"
"11104120","DESIGN - D","b0012e8f87dcd08edeae8bc215390e1d","1260","40-60","5,585","4-6","8","4","7,103","372,183","1,988","104,17","115"
"11104120","DESIGN - D","dae0e66846577d338bc081d05d827c77","1040","20-40","4,478","4-6","8","4","6,592","266,145","1,142","46,091","115"
"11104120","DESIGN - D","01b729673b0c28690120158699b5cc31","2720","60-80","7,754","6-8","8","4","7,91","539,713","5,888","401,711","115"
"11104120","DESIGN - D","9cc42980b45cc9c3c7a59e3b0188e12b","2795","60-80","7,719","6-8","8","4","7,891","535,756","5,92","401,954","115"
"11104120","DESIGN - D","a697f16d12f6e37195b7a958951012c9","2130","80-100","7,274","6-8","8","4","7,601","475,599","4,948","309,594","115"
"11104120","DESIGN - D","06845507b4c3f8ea60a9c1a9f4721f56","2110","60-80","7,688","6-8","7","3","7,847","526,657","6,099","409,288","115"
"11104120","DESIGN - D","b2e46b45361ebfde6ab3484250ee9ae5","1930","60-80","6,819","6-8","7","3","7,455","445,301","4,985","297,771","115"
"11104120","DESIGN - D","8cf34c2a8f1b12142f0f6f21ccb4f0a6","2050","60-80","7,659","6-8","7","3","7,89","535,49","5,773","391,832","115"
"11104120","DESIGN - D","1b8b4ecbb17cd4e591a3e00fb880b29d","1820","60-80","6,8","6-8","7","3","7,337","420,678","4,405","252,547","115"
"11104120","DESIGN - D","7e6b0992b1b5f154bd0fbdadeab8e996","2100","60-80","8,008","8-10","7","3","8,008","559,914","6,28","439,113","115"
"11104120","DESIGN - D","dc416e81daf305b0356c1bad54f40cd8","1320","40-60","5,822","4-6","7","3","7,759","508,328","2,599","170,303","115"
"Cód. Curso","Curso","03295e86cf4413e51f8ab1132949c3bb","CH integralizada","Faixa CH %","CRA","Faixa CRA","Semestres","Anos","MC","MCN","IEA","IEAN","Amostra"
"11104120","DESIGN - D","2bc29829c0a2d60e2c449f544f7702a6","1670","60-80","7,061","6-8","7","3","7,568","468,719","5,042","312,26","115"
"11104120","DESIGN - D","95073ddfbe08d0ade935cf255a404b06","1805","40-60","5,641","4-6","7","3","7,06","363,244","3,224","165,852","115"
"11104120","DESIGN - D","7c3bc002e27894faf31ece6d6b73bfa5","1810","40-60","6,314","6-8","7","3","7,448","443,656","4,168","248,296","115"
"11104120","DESIGN - D","aec646f29f7d12ec7e2109155749d548","1580","40-60","6,277","6-8","7","3","7,212","394,777","4,122","225,658","115"
"11104120","DESIGN - D","9998d6e80d11fb6d51920906abb6314c","1400","20-40","5,76","4-6","7","3","7,02","354,883","1,909","96,507","115"
"11104120","DESIGN - D","f2cdd12154f5d23de9723b0d93b407d2","820","20-40","4,599","4-6","7","3","7,993","556,814","0,977","68,081","115"
"11104120","DESIGN - D","e4d1a0bc79919062a74da54bf43e2cc4","2190","80-100","8,043","8-10","7","3","8,043","567,336","6,582","464,271","115"
"11104120","DESIGN - D","5b9482cb6bd601a4ca5b54e58c20d1b7","1660","60-80","6,014","6-8","7","3","6,733","295,375","3,379","148,226","115"
"11104120","DESIGN - D","5d0e5c3e9c184646e169f610bbd16784","1760","60-80","5,95","4-6","7","3","6,763","301,589","3,871","172,617","115"
"11104120","DESIGN - D","a970200641655bae68863573cb9154b7","2050","60-80","6,906","6-8","7","3","7,31","415,163","5,363","304,553","115"
"11104120","DESIGN - D","f177290bd050fe7465009317ad3164e1","2130","80-100","7,732","6-8","7","3","7,866","530,462","6,172","416,261","115"
"11104120","DESIGN - D","504a286ff70fc977099c92b7fbdcfd84","2010","60-80","7,14","6-8","7","3","7,522","459,197","5,116","312,323","115"
"11104120","DESIGN - D","9785c91630fa4d40520d8f77c55c0a0b","2010","60-80","7,042","6-8","7","3","7,319","417,064","5,115","291,439","115"
"11104120","DESIGN - D","069ddced2a5d95e69f5c9a9378acc81c","780","20-40","3,464","2-4","7","3","6,705","289,563","0,737","31,807","115"
"11104120","DESIGN - D","207f468339dbbee8e26861a3a363114e","1700","60-80","7,039","6-8","7","3","7,395","432,695","4,306","251,952","115"
"11104120","DESIGN - D","16db45f9f07a984a6b54ff328a5af9ef","1670","60-80","6,772","6-8","7","3","7,226","397,625","4,149","228,289","115"
"11104120","DESIGN - D","8b07c1361e19ad6d5c650ce3f66a0e84","1600","60-80","6,469","6-8","6","3","6,949","340,13","4,416","216,176","115"
"11104120","DESIGN - D","54dcc0a8eef1b8aa02dec55ab6735e33","1720","40-60","6,52","6-8","6","3","7,63","481,582","3,874","244,481","115"
"11104120","DESIGN - D","3bc1c7e03a010ba319839883c8d58711","1700","60-80","7,355","6-8","6","3","7,491","452,596","5,436","328,427","115"
"11104120","DESIGN - D","3fbe51d78d3d289dcbd6d3e02d31d22f","2050","60-80","8,241","8-10","6","3","8,241","608,452","7,466","551,217","115"
"11104120","DESIGN - D","901190a6c1160d468ffdcc0e76ee1d46","1765","40-60","6,895","6-8","6","3","7,95","547,866","4,636","319,499","115"
"11104120","DESIGN - D","210111d434ce807fdff3b7a2a4d6e9f4","1890","40-60","6,532","6-8","6","3","7,178","387,778","4,522","244,3","115"
"11104120","DESIGN - D","2b2d34bf7d699e19566f2ee18c600452","1810","60-80","6,981","6-8","6","3","7,399","433,679","5,226","306,277","115"
"11104120","DESIGN - D","090160bde0b19a74526e075ecb8ed2ff","1920","40-60","6,576","6-8","6","3","7,291","411,091","4,55","256,583","115"
"11104120","DESIGN - D","958dbbbc9484957973cdf3ea6024e451","1010","20-40","5,99","4-6","6","3","8,557","673,976","2,446","192,645","115"
"11104120","DESIGN - D","15f07d9a5b74d77b3e1ca7f979b69974","1660","60-80","7,008","6-8","6","3","7,714","498,917","4,667","301,835","115"
"11104120","DESIGN - D","c7b70fa9c617356d5cf2828b9584fffb","1990","60-80","7,704","6-8","6","3","7,846","526,415","6,698","449,39","115"
"11104120","DESIGN - D","9f34e9e3f7bdec17a891bba905aa5051","780","20-40","6,001","6-8","6","3","7,255","403,723","1,933","107,553","115"
"11104120","DESIGN - D","c2c6abefb6dfd22b1fbaeab09dc16cd2","750","20-40","4,292","4-6","6","3","6,629","273,83","1,465","60,505","115"
"11104120","DESIGN - D","6076beedf2e69a68452f8fea5523e76f","1130","20-40","3,897","2-4","6","3","7,37","427,548","1,597","92,64","115"
